text,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
واحد كان بيبيع صواريخ باين وعيل صغير بيشتري منه فعشان يقنعه انه يشتري كتير قاله ده حلو ده تولعه يفرقع ف اي حد من دماغ اصحابك ماركيتينج جميل 💙,0,0,0,0,0,0,0,1,0,1,0
يارب هالفجر جايب معاه كل خير وسعاده وتوفيق يارب اختبار اجمل مما نتوقع استودعنا كٌل شي عندك وانتّ خير حفيظ 💌🎈,0,0,0,0,1,0,1,0,0,0,0
غياب عتاب فراق عشق حب قربك اكثر شي احبه في حياتي و دايم اكثر شي احبه اخسره مساء الخير ✨ ❤️ ✨,0,0,0,0,0,1,0,0,1,0,0
حاليا متنرفزه من اللي عمينتقد اللي مو فرحان بالعيد اكتر من النفسيه اللي مو فرحان بالعيد ذات نفسه خلص فهمنا اقسم بالله,1,0,0,0,0,0,0,0,0,0,0
صباحووو يا حلوووين 😍✊ بدنا نلعب لعبهه يلي قدها يعلق 😉😜 حنين ☺,0,0,0,0,1,1,1,0,0,0,0
في ناس لو ضحكت نفسي احنطها من جمالها مساكم سعاده,0,0,0,0,1,1,1,0,0,0,1
من بعد فرقاك صار فراقهم عادي من جاني رحبت به ومن راح ودعته,0,0,0,0,0,0,0,0,1,0,0
انا ابي واحد حزين واخليه سعيد ياخي احنا البنات حتي في الحب نبي دراما ودموع,0,0,0,0,0,1,1,0,0,0,0
وكلهم هيمشوا وانا هرجع تاني لوحدتي ولوحدي مروان عاطف الوحده,0,0,0,0,0,0,0,0,1,0,0
اخاف قلبي يبطل يتحمل 💔 ✨,0,0,0,1,0,0,0,0,1,0,0
ميسي عمره ٢٩ ونيمار ٢٥ انريكي هو سبب خوفنا هالموسم لكنه ماشي بعد شهر و سيرجع الرعب الي عشش في قلوبكم من عشر سنين 😉 الليل طويل,0,0,0,1,0,0,0,0,0,0,0
اعلن بك نصرتي علي كل خطر يهدد عائلتي عل كل ما يحيط ببيتي من اخطار علي كل فكر شرير علي كل عاده رديئه علي كل مخاوف وهميه ماهر صموئيل,1,0,0,1,0,0,1,0,0,0,0
ترفيه الطيبين جدو سرحان من مسلسل بابا فرحان,0,0,0,0,0,0,0,0,0,0,0
تقبل الله منا ومنكم صالح الاعمال عيد سعيد عيد الفطر شوال عيد الفجر,0,0,0,0,1,1,1,0,0,0,0
وجع بطني مب وقته ابد ,1,0,1,0,0,0,0,0,1,0,0
بهجت الساعاتي مثال لصاخب الي لو مسمعتش كلامه هتروح في داهيه 😓 ولو سمعت كلامه هتروح في ستين داهيه 😂😂 ريح المدام,0,1,0,0,1,0,1,1,0,0,0
لما تسعي لامر وبكامل قواك العقليه واذا حصلت عليه فجاه يجيك احساس خوف ورهبه وتندم علي هالخطوه 😩 💔 وش هالخبال ياانا,0,0,0,1,0,0,0,0,1,0,0
المشكله تجاوزت انكار المنكر الي الفرح به والشماته والانتصار للنفس والانتقام من الشيخ لوقوفه ضد منكرات سابقه,1,0,1,0,0,0,0,0,0,0,0
موامره قطريه علي السعوديه ياي انا خايف وكتير مرعوب بقلمرومنصي حنون,0,0,0,1,0,0,0,0,0,0,0
احتفالات عيد الرياض يا سلام عندنا الجسر المعلق وطريق الملك خريص فديت السياحه والترفيه يخقق 😊,0,0,0,0,1,0,1,0,0,0,0
للامانه تجذبني الاشخاص اللي فيهم غموض وثقل اخ ومايعطون مجال لاي احد يجذبوني الناس اللي عندهم جانب لطيف بشخصيتهم بس مايطلعونه دايما,0,0,0,0,0,0,0,0,0,0,1
هه لا الوضع مو طيب معاك يحتاج لك دكتور متخصص لا تتردد بالتواصل معنا عشان نشوف لك حل,0,0,0,0,0,0,0,0,0,0,0
كم اتمني ان اقتل هذا الفتي بداخلي فانه دائما ينظر للبريق باعين مرتجفه العروق اخترقت صلبه عينيه حتي تحولت الي سيول من الدماء,1,0,0,0,0,0,0,1,1,0,0
شكرا والله ماقصرتو مفاجئه فخمه ومرتبه وتكفي فرحه محمدوعبدالله فيها 👬 😭 😍 ❤️❤️ ضيف التوينز احتفاليه التوينز,0,0,0,0,1,1,1,0,0,1,0
انا مش قادر افهم ازاي الستات بيستحملوا يقرروا كل يوم كل يوم كل يوم هيطبخوا ايه كابوس,1,0,1,1,0,0,0,0,0,1,0
و بعدين يعني مااا اشوف المسلسل 😤,1,0,0,0,0,0,0,0,1,0,0
 لو قلت لك قصه حياتي بالابيات كان ادمعت عينك بدل دمعها دم قصه تعاسه حزن الام واهات جرح وعذاب القلب هم وري هم,0,0,0,0,0,0,0,0,1,0,0
كل تلك الاكتاف قادره علي حمل راسك لكن و ل سوء حظك ليس بينهم الكتف التي تحب وجع,0,0,0,0,0,0,0,0,1,0,0
لو خايف علي الكنيسه كنت امنتها ولو امنتها وحصل تفجير يبقي انت فااشل عارفين مين عمل كده وعمل كده لي و علشان اي حسبي الله عليكم,1,0,0,0,0,0,0,0,0,0,0
مو خايفه من المسائل قد خوفي من البلاوي الثانيه 🌚,1,0,0,1,0,0,0,0,0,0,0
هههههههههههههههههههههههههههه و الله العظيم هالحساب ارهب شيء صار بيومي,0,0,0,0,1,0,0,0,0,0,0
مفيش ولا سبب حلوا ياكدلي الي انا ممكن اعيش بائس,0,0,0,0,0,0,0,1,1,0,0
وش هالجيران 😡 ازعاج 😩,1,0,0,0,0,0,0,0,0,0,0
لو اللي باقي من عمري هعيشه حزين مش عاوز اعيش عمري ولو ليومين 😢 ن وني 😢,0,0,0,0,0,0,0,1,1,0,0
الاستماع الي الاب اثناء عصبيتهوصراخه مثل قراءه شروط وقوانين مواقعالانترنت ما بتفهم شي بس بتضغط موافق 👍😅😂😂😂😂 لانا,1,0,1,0,0,0,0,1,0,0,0
بشر خوفناكم بترامب معانا 😜😉,0,0,0,1,0,0,0,0,0,0,0
و تمر في بالي مثل الصبح مسرور شمسك تجيب النور و ضحكاتك ظلالي ❤️,0,0,0,0,1,1,0,0,0,0,0
موضوع كريستيانو مسوي قلق فالتايم لاين عندي اكثر من قطر بكبرها,1,0,0,1,0,0,0,1,0,0,0
صباحك انا وبكل سرور,0,0,0,0,1,1,1,0,0,0,0
اليوم العالمي للاكتياب ١ الاكتئاب جحيم لايطاق لايعرفه الا من جربه خفقان قلب الام نفسيه احباط حزن قهر خمول وخاصه في الجهه اليسري,0,0,0,0,0,0,0,1,1,0,0
حاربت فيك الدنيا بناسها لين هدمتني بخذلانك,1,0,0,0,0,0,0,1,1,0,0
يااارب حاسه روحي جد تعباانه نتمني انخش لخيمه عزاء نبكي وانفس ع نفسي شويه وما يسالني علاش تبكي 😢😢😢😢,0,0,0,0,0,0,0,1,1,0,0
اه تلو اه ماذا بك سيجمعني حزن اخر شجن حنين ان الحزن لا يحتاج لزينه يكفيه وجه النساء ليكون علي ملامحهن نبيا,0,0,0,0,0,0,0,0,1,0,0
باقي ايام اللهم اجعل ختامها مسك وطيب بالافراح ايام قناه الغاليه ويجعل طيب صيتها في الاعالي يارب العالمين,0,0,0,0,1,1,1,0,0,0,0
بهجت الساعاتي مثال الصاحب الي لو مسمعتش كلامه هتروح في داهيه😓 ولو سمعت كلامه هتروح في ستين داهيه 😂😂 ريح المدام,0,0,0,0,1,0,0,0,0,0,0
دايماً كنت علي استعداد تام للتضحيه بجميع ما املك واخسر جميع علاقاتي من اجل سماحه خاطري ورضا مزاجي ولا زلت,0,0,0,0,0,0,1,0,0,0,0
اكتر حاجه بتضايقني لما الاقي حد مهمل ف عربيته 😤😤 العربيه روح زيها زي البني ادم بظبط لما تحافظ عليها هي بتحافظ عليك والله,1,0,1,0,0,0,0,0,0,0,0
الفيديوهات دي ممتعه قوي و بتعصبني 😠,1,0,0,0,1,0,0,1,0,0,0
دهس مصلين في لندن اي حادثه من الحوادث الي بتحصل في الغرب بيقولوا عليها حادثه بسب الارهابيين الا المسلمين لما تحصلهم حادثه محدش بيقول حاجه 😠,1,0,1,0,0,0,0,0,1,0,0
السكوت موجع والكلام ماهو الا زياده الم والجرح خذته وشابت به ايامي روضت العمر صبر والسنين طوال والقرار اصعب من دمعه يتيم اماني الروح,0,0,0,0,0,0,0,1,1,0,0
احلي مسلسل اذاعي بجد خفه دم عمرو و كنده و ايهاب فهمي مش معقوله رجعوني احب اسمع مسلسل في اذاعه😍😍,0,0,0,0,1,1,0,0,0,0,0
ماجد المهندس افادنا باخلاقه الطيبه وحسن سلوكه انتي تستصغرين منه علي اي اساس مع احترامي علي الاقل ماهو مهرج 😘,1,0,0,0,0,1,1,0,0,0,0
النهارده فيه كسل رهيب في الجو اول يوم احس بخنقه كده من اسبوع مثلا اللهم نشاط وفوقان كده يارب 🙏,0,0,0,0,0,0,1,0,1,0,0
متل ما اجا مطر بنص الصيف رح تجي فرحه بنص الوجع يارب,0,0,0,0,0,0,1,0,0,0,0
هاموره تقتبس كلامي وتفسره علي كيفها وتشتمني بعدين اذا حققت مرادها تبلكني قصه افلاس قصيره غيره حقد,1,0,1,0,0,0,0,0,0,0,0
احياناً احس اني روحي خُلقت في مكان اخر والا وش تفسير الاستياء من لحظه ولادتي الي الان من العيش في السعوديه,1,0,0,0,0,0,0,1,1,0,0
يسوي نفسه حزين علي فراقي وانا ادري انه اسعد انسان بدنيا,1,1,1,0,0,0,0,1,1,0,0
بهجه امل ٨٨اجمل حاجه في الحياه لما ماما تشوفني مضايقه من شي و تقولي امل من علمني دايما انو اي موقف مو كويس حيعدي و انو اضحكي و استانسي😍💕,0,0,0,0,1,1,1,0,0,0,0
يفسرون غضبي شر يفسرون مزاجي المتقلب نفاق كل ما اصبح حزين وغاضب يخبروني بان هذه شخصيتي الحقيقه وكاني جبل يتحمل كل شي ولا يحس,1,0,0,0,0,0,0,0,1,0,0
اكره السلبييييييين ياخي لا تسوي فيها انك فاهم الكُفت وانت ما تدري ايش بيسير خلي سلبياتك لنفسك 😡😡😡😡,1,0,0,0,0,0,0,0,0,0,0
يارب بحق سقوط المطر حقق كل امنياتي وابعد عني وعن احبتي كل شر واحفظهم لي 🙏 مطر 💦 💦 💓 💓,0,0,0,0,0,1,1,0,0,0,1
اقسي شعور يراودك وانت مخذول 💔 اننك علي كثر الوجع كنت طيب,0,0,0,0,0,0,0,0,1,0,0
ابي حمام بغرفتي عشان اتروش و اخرج و مايكون قدامي ناس لاني صرت اخاف اذا تروشت و طلعت و لقيت قدامي احد او سمعته يسولف مدري شعور يضايق ويخوف,1,0,0,1,0,0,0,0,1,0,0
حفظت السور اللي بتيجي في الامتحان وطلع الدكتور مبيكررش الاسئله حاجه مرعبه يعني,0,0,0,1,0,0,0,0,0,0,0
بعدين متقوقع كيف غريب اصلا ان تضرب امثله خارج ظروفك الموضوعيه علی الساحه الاقليميه والمحليه والدوليه وادوات التي تملكها,1,0,1,0,0,0,0,0,0,0,0
يارب ايام جميله و اخبار مفرحه و نفس مقتنعه و قلب مرتاح و راحه بال و توفيق من عندك 💕 ✨,0,1,0,0,1,1,1,0,0,0,0
فول تعب عقب التمرين بس احلي شعور خميس ويكند قطر رياضه الحمدالله,0,0,0,0,1,1,1,0,0,0,0
الاتراك تاريخهم اسود ملطخ بدماء المسلمين وغير المسلمين الله ينتقم منهم,1,0,0,0,0,0,0,0,0,0,0
ايوه انا اللي بغلط دايما وانتو ماشاء الله بتشخو كنافه بالمانجه 😤,1,0,1,0,0,0,0,0,0,0,0
 انا ڪنت زعلان شويﮧ مش اڪتر 💔 ✋ ڪنت محتاج شويﮧ وقت م انش لازم تسيبني 💔 ,0,0,0,0,0,0,0,0,1,0,0
خذاه الوقت و ظروفه و خلاني وحيد ما املك سوا صوره و تنهيده,1,0,0,0,0,0,0,0,1,0,0
لما تشتاق لشخص ميت هو الموت الاساسي تحس انك جسد بدون روح هو الذبول والوجع الي ما تحس فيه ولا تقدر توقف,0,0,0,0,0,0,0,0,1,0,0
مكرهش ف حياتي قد الشخصيه الماديه 😠,1,0,1,0,0,0,0,0,0,0,0
استرق النظر الاحظ ارتجاف اصابعك الحركه الرقيقه لعنقك اثناء ابتلاعك لريقك يدك الحائره تاره بين خصلات شعرك وتاره حول فمك,0,1,0,0,0,1,0,0,0,0,0
فرحو المواطنين تره الشعب محتاج فرحه ويستاهل خير الكويت خلوه علي الكويتين شوي,0,0,0,0,1,0,1,0,0,0,0
طز مدريد خيانه غدر,1,0,1,0,0,0,0,1,1,0,0
ودي ابني بيت لفقير محتاجه ودي اشوف فرحته و اعطيه عمل كاني بنيت له بدايه الطريق و هو يكمل بنفسه الله شعور جميل 😭 💙 ✨ حلمك مع طلبات,0,0,0,0,1,1,1,0,0,0,1
صلاه الفجر ابتسامهالسعداء وطمانينه الروح وعشق الانقياء لركعتين يرون بها نعيم الجنه,0,0,0,0,1,1,1,0,0,0,0
شويه كلاب وحشرات ولا دم عندهم ولا نخوه اعلن الحداد في البلاد اللي ماتوا برضه بني ادمين ليه مصمم تبيع الدم قبل الارض مين المستفيد مين 😏 😏,1,0,1,0,0,0,0,0,0,0,0
واللي كلامهم زي المطر يسقينا وينبت فينا من كلامهم ورد كيف نجازيهم ياربي 💕,0,0,0,0,0,1,1,0,0,0,0
انتي مجموعه سعاده في قلب انسان 💜 😍 😘 بانتظار اللقاء الملكي ع نار 😭,0,1,0,0,1,1,1,0,0,0,0
مبسوطين ولله الحمد والمنه ولا حاسين بنقص ولا غمه الله يطول في اعمار حكامنا مش مخلينا محتاجين لحد,0,0,0,0,1,1,1,0,0,0,0
لا تدققيين والله ضغطي مرتفع وزاقه معي 😓,1,0,0,0,0,0,0,1,1,0,0
اذان الجمعه علي اصوات المطر رائحه البخور قهوه امي ضحكه ابوي ما بقي حزن بالدنيا,0,0,0,0,1,1,1,0,0,0,0
عبدالله الفوزان دموعه علي فراق والديه والحرقه الي عليهم تخليك توقف بينك وبين نفسك وتقول وش هالدنياء يالله اللهم ارزقني برهم ,0,0,0,0,0,0,0,0,1,0,0
من المعيب ان تدفع اموال طائله علي زينه الاحتفالات والبهرجه الفانيه والله يقول من ذا الذي يقرض الله قرضا حسنا فيضاعفه له اضعافا كثيره,1,0,1,0,0,0,0,0,1,0,0
شاهين باحتفاليه مسرح السلام السعاده في القرب من الله,0,0,0,0,1,1,1,0,0,0,0
اسعد امك بسهم تصدق بنيه ما تريد الوقف موجود اليوم بكرا مو موجود الوقف هذا لك بالدنيا والاخره والي خايف ان الوقف كذب الوقف كان بقناه بدايه,0,0,0,0,0,1,1,0,0,0,0
قالت لزوجها شايف الرجال اللي يرقص ذاك 😊 قال لها ايه شايفه😊 قالت ذا قبل خمس سنوات تقدم لي ورفضته😨 قال لها ما شاء الله الي الان يحتفل 😂😂😂,0,0,0,0,1,0,0,1,0,0,0
وصلني ع الخاص منذ قليل من صديق اكثر الناس حرصا علي عدم اثاره الفزع في قلوب العصافير هو الصياد ,0,0,0,0,0,0,0,0,0,0,0
ياما حاولت الفراق و ماقويت كنت ابي انساه لكن مانسيت ,0,0,0,0,0,0,0,1,1,0,0
حتي خرج لنا جيل مسعور جنسيا ومتعطش لاي احتكاك جيل تفكيره منصب بالكامل علي الجنس جيل قليل الوعي جيل منافق ومستشرف,1,0,1,0,0,0,0,1,1,0,0
بس تبلش دعايه بتحِس بدك تقول للبِنت يلي عم تعمل الدعايه بعذبِك لو سمحتي كلي خري ازعاج انو تار قرف,1,0,1,0,0,0,0,1,0,0,0
ربي اجعل امي سعيده الدارين قريره العينين لا تشكي هم ولا حزن ولا مرض واحفظها لي فهي لي الدنيا باكملها❤️ 😴,0,0,0,0,1,1,1,0,0,0,0
المشكله في ضميرك مو الاكل اسفليه 😗,1,0,1,0,0,0,0,1,0,0,0
بركات تصدق اسم حلو هاسيبهم لوقت العوزه وانا عارف انك بتخاف من امك,0,0,0,0,0,1,0,0,0,0,0
من الفرحه مدري وش اغرد,0,0,0,0,1,0,0,0,0,0,0
شوفت قسوه و ظلم ليه من ناس كتير دول باعوني و ندموني علي حسن الضمير,1,0,0,0,0,0,0,1,1,0,0
الف مليون مبروك الثقه الملكيه امير شاب وممارس للرياضه مثلك واثق انك راح تسوي نقله كبيره كلنا ثقه فيك ❤️❤️,0,0,0,0,1,1,1,0,0,0,1
المخابرات الحربيه بقت وصمه عار واهانه الدوله ومحاوله هدمها وطوله اللسان والبذائه بقت شرف والله الدنيا ماشيه بظهرها,1,0,1,0,0,0,0,0,0,0,0
في ناس كدا مجرد مانكلمهم لو دقيقه بنحس براحه وبنبقي فرحانين حتي لو قلنا ازيكوا وردوا بس ب الله يسلمك 💕,0,0,0,0,1,1,1,0,0,0,0
 اخاف ان تقتل اولادنا التعاسه وضيق الاحتمالات جرعه امل ويعودا للحياه فلا تقلق,0,0,0,1,0,0,1,0,0,0,0
الحمدلله غيرنا مش لاقي ياكل 🙏 غربه,0,0,0,0,0,0,1,0,0,0,0
ابويتدور فرحتي وهي في مبسمك انت بس ابتسم ويبتسم قلبي معاك,0,0,0,0,1,1,0,0,0,0,0
طاري الموت يجيب لي قشعريرهياثر علي ويرجعني ثلاث سنين ورا,0,0,0,1,0,0,0,1,1,0,0
لما كلام اللي بيوجع ما يطلعش ساعه غضب او نرفزه يبقي حقيقي و ما ييقالوش عذر نعرف نسامح بي و ننسي اللي حصل,1,0,0,0,0,0,0,0,1,0,0
امان الا ذي 🤦 🏻 ‍♀️ اي امان ياقلبي انتي ابحثي شوفي قضاياهم شوفي كيف المراه مهانه عندهم شوفي قضايا الابتزاز والاعتداء,1,1,1,0,0,0,0,0,1,0,0
احساس دايم بالفراغ والضجر وحوله كثير اشياء تملي الفراغات ,0,0,0,0,0,0,0,1,1,0,0
تجيني فترات ما اطول فالنوم عكس نومي اول اقوم بي شعور بالفزع و تانيب الضمير مع اني مالقيت السبب,0,0,0,1,0,0,0,0,1,0,0
في الم كده تحس انك بتربي من اول وجديد تبقي شبه الكتكوت المبلول يخليك تعد النجوم وتعد اي حاجه علشان تنسي المالاسنان وخلع الضرس,1,0,0,0,0,0,0,1,1,0,0
اخي لا نعتب علي الدول التي تامرت وخذلت الشعب الفلسطيني والسوري عتبنا علي حركه حماس التي تتودد بعلاقتها مع الحكومه المجوسيه ايران,1,0,1,0,0,0,0,1,1,0,0
لاتنتظرون احد يمطر عليكم فرح اذا م بذلت جهدك ع نفسك صدقني محد راح يجري ورا سعادتك وانبساطك هذا عيدك وهذي حياتك ✨ ❤️,0,0,0,0,1,1,1,0,0,0,0
 احساس مرعب ان تقف امام الغرفه الزجاجيه تنظر الي عزيز يتوسد جراحه تحصي دقات قلبه وتنتظر قرار الحياه به اما بدايه تمنحك فرح,0,0,0,1,0,0,0,0,1,0,0
عايزنا نرجع زي زمان طب وقت تاني عشان زهقانه ريح المدام بهجت و سلطان,0,0,0,0,1,0,0,1,0,0,1
هي مباغته لكن تضمن ان اللاعبين مستعدين لها باين الارتباك بعيونهم و الخوف من الهزيمه,0,1,0,1,0,0,0,1,0,0,0
كل اللي بيحصلنا ده نتيجه اننا موصناش السوايسه واعتمدنا ان الدنيا هايصه كده كده ندم,1,0,0,0,0,0,0,0,1,0,0
ما فيه جوائز قيمه للي يقسون بالكلام ببشاعه هدو الوضع,1,0,1,0,0,0,0,0,0,0,0
كل سنه و انتي طيبه يا هداف 😂 😂 و عيد سعيد عليكي 😂 😂 💃 🏻 💃 🏻 💃 🏻 و عقبال مليون سنه يا رب 😄 😄 و ربنا يتوب عليكي من اعياد الميلاد في الامتحانات🤣🤣,0,0,0,0,1,1,1,0,0,0,0
يارب تطلع النتيجه الي فيها خير بموت من التوتر💔💔,0,1,0,1,0,0,0,0,0,0,0
مش بالدموع هترجعني 💃,0,0,1,0,0,0,0,0,1,0,0
ليه في برنامج الصدمه كان السواق مصري ليه مكنش من نفس البلد ال كان فيها المقلب😠 ليه الاستهزاء ب لمصري😡 للمصري كرامه,1,0,0,0,0,0,0,0,0,0,0
اليوم حلمان بالسيباس قمت من النوم ناشف ريجي وميت من اليوع 👀 اخوي هذا من الرجيم وله من غنجهوملاس 🐟 تعبان حلم 😑,0,0,0,1,0,0,0,0,0,0,0
مش غلط وهم بالسجن ياكلوا من الدجاج الفاسد الذي ارسلوه لاهلنا خلي يمشي عليهم المثل القائل من حفر حفره لاخيه وقع فيها بس بقول الاردن,1,1,0,0,0,0,0,0,1,0,0
تحدثت واخوتي عن الاوضاع الراهنه بما اننا من نبلاء البلد لم اخفي اسفي حينها عما حدث من باب حريه راي استشاطوا غضبا وكاني ساب ابوي بقبره,1,0,0,0,0,0,0,0,1,0,0
حيويه الربيع علي طول خلك ماشي 🏃,0,0,0,0,1,1,1,0,0,0,0
يقلقون راحتي و يكرفوني ليلا و نهارا ثم يقولون انت صاير غريب تصحي علي الفطور مباشره هذا ليس صيام لا بالله عجبي,1,0,0,0,0,0,0,0,0,0,0
الله رحيم والله لو عندي اطفال كان الحين مجنونه اركض بالشارع عندي هلع وخوف افقدهم يضيعون احد يخطفهم مو عادي حرصي يفوق الوصف,0,0,0,1,0,0,0,0,0,0,0
انا هطق لو مفتكرتش احمد مالك ده شبه مين و ممكن ابطل اتفرج عالمسلسل 😡,1,0,0,0,0,0,0,0,0,0,0
بالنسبه ان انا فعلا تعبت 😖 مش عارفه اذاكر ولا عارفه انام 😤,1,0,0,0,0,0,0,1,1,0,0
ويقول لك ذا تعامل راقي لامتصاص غضب المدخن شدخل العامل بغضبه الزق مرض والله,1,0,1,0,0,0,0,1,0,0,0
احياناً السعاده تكون ع هئيه شخص محد ينكر هالشيّ👌🏻,0,0,0,0,1,1,1,0,0,0,0
براءه ساحره الرياض لا يشيخ اسالك ب الله انت ووجهك براءه وين ب العقل هي قالت راح اتوب والهلع الي جاها في الموقف اكبر دليل ع انها ساحره😷🔕🚶,1,0,1,0,0,0,0,0,0,0,0
نعم اختي بكل سرور 🌹 ❤️ 🌹,0,0,0,0,1,1,0,0,0,0,0
اتوقع عندي بس ماشفت احد اشتكي 😪 ثلاث ايام ما اقدر العب مهمه وحده لازم يلعق واليوم رابع,1,0,1,0,0,0,0,1,1,0,0
ليش م نكسر هالزعل ونبطل نكابر,0,1,0,0,0,0,0,0,1,0,0
مش بحب انتقم من حد بس هو واحد بس نفسي اوي انتقم منو 😠 👊 ابو عواجه 😒 😭 يا رب تموت يا شيخ 😑😂,1,0,0,0,0,0,0,0,0,0,0
هذه نتيجه الصيام كيف اندحر به والان ينتقم كذلك الخل يدحره يريد عباده روح استشاط غضب بشكل لم يسبق له مثيل,1,0,0,0,0,0,0,0,0,0,0
يارب البسمه اشوفها دايماً ع وجيه اهلي يارب تبعد الضيق عن قلوبهم 💭💜,0,0,0,0,1,1,1,0,0,0,0
لا زالت كربلاء تنزف من جرح يزيد الملعون ولازالت دماء الحسين معلقه في سماءها الحمراء ترقب شمس الحريه كربلاء تفجير ارهابي وهابي ملعون,1,0,0,0,0,0,0,0,1,0,0
اي لاحظت التاخير بين التغريدات قلت اكيد مشغوله 😀,0,1,0,0,0,0,0,0,0,0,0
هذا الي مو قادر يرقعها اعتذر الاعتذار من شيم الرجال الحكومه الله يعزها تقول الشعب القطري شقيق ومصلحته اولويه,1,0,0,0,0,0,1,0,0,0,0
انا ضد مدريد حتي في حقهم بالحياه المفروض يتم منعهم من التكاثر والقضاء عليهم مو بس لحيه خساره كره قدم الموت لمدريد 😤😤😤😤😤😤😤😤😤,1,0,1,0,0,0,0,0,0,0,0
احب حسابك و احب كل اللي تكتبيه جد تفيدينا كثير❤️الله يسعدك سعاده الدارين❤️❤️,0,0,0,0,0,1,0,0,0,0,0
محادثه بسيطه بمثابه حضن وشويه كلام يخلق الراحه مِن الشخص المطلوب واحنا بخير 😴❤️,0,0,0,0,1,1,0,0,0,0,0
اه يا دوله مش عارفين نستقبل فيها معايدات ولا عارفين حتي نعيد علي حد قهر وجع حسره ذل مهانه,1,0,0,0,0,0,0,0,1,0,0
صار جزء لا يتجزا من حياتي رعب,0,0,0,1,0,0,0,0,0,0,0
دام بدايتها ضحكه يعني حب كوعك,0,0,0,0,1,1,0,0,0,0,0
الناس ميتين جوع في ذمتكم الله لاسامحكم,1,0,0,0,0,0,0,0,1,0,0
اسف علي نفسيتي المتقلبه علي غضبي المفاجئ واسف لقلبك المسكين الذي يعاني من مزاجيتي بدون ذنب منه اسف لحظك اللي اعطاك شخص سيء مثلي يحبك 😴,1,0,0,0,0,1,0,0,1,0,0
 ام حسن قاطعوا المحل الغير محترم ده في مدينه نصر اعتدي علي بنات بالضرب علشان منتقبات ومختمرات النجاسه في ازهي صورها,1,0,1,0,0,0,0,0,1,0,0
السكه مش طويله فاضل عالحلم خطوه وهعدي في يوم وليله لكن خايف يا بكره جايز علي قد خوفنا فرح الايام يشوفنا وينور كل ليله,0,0,0,1,0,1,1,0,0,0,0
محادثه قديمه جدا قد تمدك بالدفء في اكثر اوقاتك بردا وحاجه لشخص يبتسم لك من قلبه تعيد الي روحك النشوه بعد وقت عصيب من الجمود والرتابه,0,0,0,0,1,1,1,0,0,0,0
اشهر عبارتين في العالم والعبارتين مافيهمش لا امان و لا ضمان,1,0,0,0,0,0,0,1,0,0,0
انا اخاف كثير من الحيوانات بس احبها من بعيد لبعيد ودي اقدر اشيلها بدون خوف واعتني فيها هل فيه احد عنده حل خصوصا ان ودي ودي بس فيني رهبه,0,0,0,1,0,0,0,0,0,0,0
لما الامام يدعي للاموات بتيجيني غصه رهيبه و الدموع ما بتوقف بشوف بهاي اللحظه وجه ستي رحمه الله عليها فهي كانت اول فقيد لقلبي 💔 💔,0,0,0,1,0,0,0,0,1,0,0
زيزي كان لازم تاخد الم علي وشها انها بتعامل الوسخه ايه بالادب دا و استفزتني جدا ومش طايقه ضعفها و استهوانها بكرامتها كدا لا تطفئ الشمس,1,0,1,0,0,0,0,0,0,0,0
كمثال عن صديق اخبرني براي سلبي عنه وكان منزعج بشكل ازعجني معهانا اشوف فيه عكس الشيء ذا تماماًياجماعه ترا الطين واحد بس الارواح مختلفه,0,1,0,0,0,0,0,1,1,1,1
٩ ٪ من توتر نفاق الكتروني,1,0,1,1,0,0,0,0,0,0,0
بالوقت اللي تبعد عن الناس اللي تضايقك باستمرار او تكون مصدر ازعاج بالنسبه لك حتي لو تحبهم بترتاح بشكل كبيير وتفتك منهم اكثر من انك تكون حزين,1,0,0,0,0,0,0,0,0,0,1
والله ياخوك مدري بس الافراح كانت عارمه😂💔,0,0,0,0,1,0,0,0,0,0,0
صباحي في اتم الارتياح انك الحلم الذي تحول الي واقع بمشاركه الاماني واحلام بالمنام,0,0,0,0,1,1,1,0,0,0,0
الاعلان جميل جداا بجد😍كل شويه اعيد فيه و اتفرج عليه😍😍 البرنس ❤💪 ربنا معاك يااارب يا احسن برنس💖و ربنا يشفي كل مريض💔 ماس احمد حلمي,0,0,0,0,1,1,1,0,0,0,0
ب الف نفر الدنيا كلها مع بعض بدون اي تكاليف و نعيش عيشه صعبه بالديون ليش الكل يتذمر من الزواج عشان الديون بس,1,1,1,1,0,0,0,1,1,0,0
جوايا احساسا مش عارفه اوصفه فرحانه 😊 اني خلصت ولا زعلانه والشعور الاغلب مصدومه 😮 ومش اني مش هاروح جامعه تاني😖,0,0,0,0,1,0,0,0,1,0,0
بحب جدا الناس البسيطه اللي كلمه صغيره او خروجه عاديه او قعده حلوه ممكن تفرحهم بحب اتعامل معاهم جدا وممكن يفضلوا ع بالي طول الوقت 💙,0,0,0,0,0,1,1,0,0,0,0
بلحظه منكون عم نضحك ولحظه التانيه بتخلونا نتوجع❤مسلسل كاراميل كامل متكامل فيو الضحكه والغصه والوجع والدمعه وفيو الامل برافو😍,0,0,0,0,0,0,0,1,1,1,0
الاولاد هم بهجه البيوت ومصدر حرارتها نبعث حياه البيت بمرحها واصواتها وتتلون الحياه بمراحل اعمارها ومطالبها وتنشغل القلوب والعقول باهتماماته,0,0,0,0,1,1,1,0,0,0,0
